region,club,type,distance,date,finishers,dnf,eid
VA: Tidewater,Tidewater Randonneurs / 946002,RUSAP,100.0,2018/01/01,0,,8988
CA: Davis,Davis Bike Club / 905014,RUSAP,103.0,2018/01/01,6,0.0,9437
CA: Santa Cruz,Santa Cruz Randonneurs / 905106,ACPB,200.0,2018/01/01,1,1.0,9304
MO: Kansas City,Kansas City Ultra Cycling / 925001,RUSAP,104.0,2018/01/01,0,,9632
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,100.0,2018/01/01,6,0.0,8914
CA: Los Angeles,Channel Islands Bike Club / 905082,ACPB,200.0,2018/01/01,21,1.0,9575
MO: Kansas City,Kansas City Ultra Cycling / 925001,RUSAB,202.0,2018/01/01,0,,9633
CA: Davis,Davis Bike Club / 905014,ACPB,200.0,2018/01/01,9,0.0,9436
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,200.0,2018/01/01,12,0.0,8915
AZ: Phoenix,Arizona Randonneurs / 903020,RUSAP,100.0,2018/01/06,18,1.0,9391
TX: Austin,Hill Country Randonneurs / 943025,ACPB,200.0,2018/01/06,8,0.0,8963
TX: Houston,Houston Randonneurs / 943030,RUSAP,100.0,2018/01/06,5,0.0,9096
AZ: Phoenix,Arizona Randonneurs / 903020,ACPB,200.0,2018/01/06,23,3.0,9392
TX: Houston,Houston Randonneurs / 943030,ACPB,200.0,2018/01/06,3,0.0,9097
PA: Eastern,Pennsylvania Randonneurs / 938017,RUSAB,200.0,2018/01/06,2,0.0,9133
CA: San Diego,San Diego Randonneurs / 905140,RUSAP,100.0,2018/01/06,5,0.0,9016
FL: Southern,South Florida Randonneurs / 909014,ACPB,200.0,2018/01/06,29,0.0,9309
GA: Atlanta,Audax Atlanta / 910004,ACPB,200.0,2018/01/06,7,1.0,9522
FL: Gainesville,Gainesville Cycling Club / 909005,ACPB,200.0,2018/01/06,16,2.0,9433
MA: Boston,New England Randonneurs / 921005,RUSAP,100.0,2018/01/07,0,,9505
TN: Nashville,Harpeth Bicycle Club / 942046,ACPB,200.0,2018/01/13,7,0.0,9197
NC: High Point,Bicycle For Life Club / 933057,ACPB,200.0,2018/01/13,9,0.0,9402
TX: Brownsville,RGV Randos / 943005,ACPB,200.0,2018/01/13,2,0.0,9058
