region,club,type,distance,date,route,rt_url,rtid,event_url,eid
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,100,2019/01/01,The Doctor's Daughter 100,/cgi-bin/routesearch_PF.pl?rtid=1491,1491,/cgi-bin/resultsearch_PF.pl?eid=10077&esortby=cert,10077
CA: Los Angeles,Channel Islands Bike Club / 905082,ACPB,200,2019/01/01,Orange County Pendleton 200K,/cgi-bin/routesearch_PF.pl?rtid=995,995,/cgi-bin/resultsearch_PF.pl?eid=10423&esortby=cert,10423
CA: Davis,Davis Bike Club / 905014,ACPB,200,2019/01/01,Davis-Calistoga-Davis 200Km,/cgi-bin/routesearch_PF.pl?rtid=1163,1163,/cgi-bin/resultsearch_PF.pl?eid=9450&esortby=cert,9450
CA: Davis,Davis Bike Club / 905014,RUSAP,103,2019/01/01,Moskowite Corner 100Km,/cgi-bin/routesearch_PF.pl?rtid=1322,1322,/cgi-bin/resultsearch_PF.pl?eid=9451&esortby=cert,9451
VA: Tidewater,Tidewater Randonneurs / 946002,RUSAP,100,2019/01/01,Suffolk 100K,/cgi-bin/routesearch_PF.pl?rtid=2034,2034,/cgi-bin/resultsearch_PF.pl?eid=10050&esortby=cert,10050
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,200,2019/01/01,Rip-Snortin' Rando Ride,/cgi-bin/routesearch_PF.pl?rtid=1495,1495,/cgi-bin/resultsearch_PF.pl?eid=10078&esortby=cert,10078
MO: Kansas City,Audax Kansas City / 925005,ACPB,200,2019/01/01,Princeton Roundabout,/cgi-bin/routesearch_PF.pl?rtid=1125,1125,/cgi-bin/resultsearch_PF.pl?eid=9843&esortby=cert,9843
FL: Southern,South Florida Randonneurs / 909014,ACPB,200,2019/01/05,Hammocks Flamingo 200K,/cgi-bin/routesearch_PF.pl?rtid=2360,2360,/cgi-bin/resultsearch_PF.pl?eid=9862&esortby=cert,9862
TX: Houston,Houston Randonneurs / 943030,ACPB,200,2019/01/05,Brookshire-Burton,/cgi-bin/routesearch_PF.pl?rtid=924,924,/cgi-bin/resultsearch_PF.pl?eid=10012&esortby=cert,10012
PA: Eastern,Pennsylvania Randonneurs / 938017,RUSAB,200,2019/01/05,Morgantown 200,/cgi-bin/routesearch_PF.pl?rtid=1358,1358,/cgi-bin/resultsearch_PF.pl?eid=10035&esortby=cert,10035
