region,club,type,distance,date,route,rt_url,rtid,event_url,eid
VA: Tidewater,Tidewater Randonneurs / 946002,RUSAP,100.0,2018/01/01,Suffolk 100K,/cgi-bin/routesearch_PF.pl?rtid=2034,2034,/cgi-bin/resultsearch_PF.pl?eid=8988&esortby=cert,8988
CA: Davis,Davis Bike Club / 905014,RUSAP,103.0,2018/01/01,Moskowite Corner 100Km,/cgi-bin/routesearch_PF.pl?rtid=1322,1322,/cgi-bin/resultsearch_PF.pl?eid=9437&esortby=cert,9437
CA: Santa Cruz,Santa Cruz Randonneurs / 905106,ACPB,200.0,2018/01/01,Marina 200k,/cgi-bin/routesearch_PF.pl?rtid=2160,2160,/cgi-bin/resultsearch_PF.pl?eid=9304&esortby=cert,9304
MO: Kansas City,Kansas City Ultra Cycling / 925001,RUSAP,104.0,2018/01/01,Barley's - Free State 104,/cgi-bin/routesearch_PF.pl?rtid=1953,1953,/cgi-bin/resultsearch_PF.pl?eid=9632&esortby=cert,9632
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,100.0,2018/01/01,The Doctor's Daughter 100,/cgi-bin/routesearch_PF.pl?rtid=1491,1491,/cgi-bin/resultsearch_PF.pl?eid=8914&esortby=cert,8914
CA: Los Angeles,Channel Islands Bike Club / 905082,ACPB,200.0,2018/01/01,Orange County Pendleton 200K,/cgi-bin/routesearch_PF.pl?rtid=995,995,/cgi-bin/resultsearch_PF.pl?eid=9575&esortby=cert,9575
MO: Kansas City,Kansas City Ultra Cycling / 925001,RUSAB,202.0,2018/01/01,Princeton Roundabout,/cgi-bin/routesearch_PF.pl?rtid=1125,1125,/cgi-bin/resultsearch_PF.pl?eid=9633&esortby=cert,9633
CA: Davis,Davis Bike Club / 905014,ACPB,200.0,2018/01/01,Davis-Calistoga-Davis 200Km,/cgi-bin/routesearch_PF.pl?rtid=1163,1163,/cgi-bin/resultsearch_PF.pl?eid=9436&esortby=cert,9436
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,200.0,2018/01/01,Rip-Snortin' Rando Ride,/cgi-bin/routesearch_PF.pl?rtid=1495,1495,/cgi-bin/resultsearch_PF.pl?eid=8915&esortby=cert,8915
AZ: Phoenix,Arizona Randonneurs / 903020,RUSAP,100.0,2018/01/06,Saguaro Lake 100K,/cgi-bin/routesearch_PF.pl?rtid=1677,1677,/cgi-bin/resultsearch_PF.pl?eid=9391&esortby=cert,9391
TX: Austin,Hill Country Randonneurs / 943025,ACPB,200.0,2018/01/06,route 376 (unnamed),/cgi-bin/routesearch_PF.pl?rtid=376,376,/cgi-bin/resultsearch_PF.pl?eid=8963&esortby=cert,8963
TX: Houston,Houston Randonneurs / 943030,RUSAP,100.0,2018/01/06,Sunnyside Loop,/cgi-bin/routesearch_PF.pl?rtid=1183,1183,/cgi-bin/resultsearch_PF.pl?eid=9096&esortby=cert,9096
AZ: Phoenix,Arizona Randonneurs / 903020,ACPB,200.0,2018/01/06,Saguaro Lake 200k,/cgi-bin/routesearch_PF.pl?rtid=1502,1502,/cgi-bin/resultsearch_PF.pl?eid=9392&esortby=cert,9392
TX: Houston,Houston Randonneurs / 943030,ACPB,200.0,2018/01/06,Brookshire-Burton,/cgi-bin/routesearch_PF.pl?rtid=924,924,/cgi-bin/resultsearch_PF.pl?eid=9097&esortby=cert,9097
PA: Eastern,Pennsylvania Randonneurs / 938017,RUSAB,200.0,2018/01/06,Hopewell,/cgi-bin/routesearch_PF.pl?rtid=2060,2060,/cgi-bin/resultsearch_PF.pl?eid=9133&esortby=cert,9133
CA: San Diego,San Diego Randonneurs / 905140,RUSAP,100.0,2018/01/06,Hill Street Blues 100k,/cgi-bin/routesearch_PF.pl?rtid=1756,1756,/cgi-bin/resultsearch_PF.pl?eid=9016&esortby=cert,9016
FL: Southern,South Florida Randonneurs / 909014,ACPB,200.0,2018/01/06,Boca-Hobe Loop 200k,/cgi-bin/routesearch_PF.pl?rtid=1684,1684,/cgi-bin/resultsearch_PF.pl?eid=9309&esortby=cert,9309
GA: Atlanta,Audax Atlanta / 910004,ACPB,200.0,2018/01/06,Athens Georgia 200k,/cgi-bin/routesearch_PF.pl?rtid=1141,1141,/cgi-bin/resultsearch_PF.pl?eid=9522&esortby=cert,9522
FL: Gainesville,Gainesville Cycling Club / 909005,ACPB,200.0,2018/01/06,route 387 (unnamed),/cgi-bin/routesearch_PF.pl?rtid=387,387,/cgi-bin/resultsearch_PF.pl?eid=9433&esortby=cert,9433
MA: Boston,New England Randonneurs / 921005,RUSAP,100.0,2018/01/07,RSC to South Harvard,/cgi-bin/routesearch_PF.pl?rtid=1573,1573,/cgi-bin/resultsearch_PF.pl?eid=9505&esortby=cert,9505
TN: Nashville,Harpeth Bicycle Club / 942046,ACPB,200.0,2018/01/13,route 244 (unnamed),/cgi-bin/routesearch_PF.pl?rtid=244,244,/cgi-bin/resultsearch_PF.pl?eid=9197&esortby=cert,9197
NC: High Point,Bicycle For Life Club / 933057,ACPB,200.0,2018/01/13,Salisbury - Burnsville 200k,/cgi-bin/routesearch_PF.pl?rtid=697,697,/cgi-bin/resultsearch_PF.pl?eid=9402&esortby=cert,9402
TX: Brownsville,RGV Randos / 943005,ACPB,200.0,2018/01/13,Harlingen TX HSC 205,/cgi-bin/routesearch_PF.pl?rtid=1912,1912,/cgi-bin/resultsearch_PF.pl?eid=9058&esortby=cert,9058
CA: San Luis Obispo,San Luis Obispo Randonneurs / 905166,ACPB,200.0,2018/01/13,San Luis Obispo Coastal Cruise,/cgi-bin/routesearch_PF.pl?rtid=1133,1133,/cgi-bin/resultsearch_PF.pl?eid=9592&esortby=cert,9592
TX: Brownsville,RGV Randos / 943005,ACPB,300.0,2018/01/13,Harlingen TX HSC 301 KM Pajaro Loco,/cgi-bin/routesearch_PF.pl?rtid=2000,2000,/cgi-bin/resultsearch_PF.pl?eid=9059&esortby=cert,9059
CO: Boulder,Rocky Mountain Cycling Club / 906002,ACPB,200.0,2018/01/13,Windsor Wanderer,/cgi-bin/routesearch_PF.pl?rtid=2173,2173,/cgi-bin/resultsearch_PF.pl?eid=9336&esortby=cert,9336
PR: San Juan,Puerto Rico Randonneurs / 952003,ACPB,200.0,2018/01/13,Guaynabo a Ponce,/cgi-bin/routesearch_PF.pl?rtid=1858,1858,/cgi-bin/resultsearch_PF.pl?eid=8837&esortby=cert,8837
TX: Austin,Hill Country Randonneurs / 943025,ACPB,200.0,2018/01/13,No Return to Fitzhugh 200K,/cgi-bin/routesearch_PF.pl?rtid=1722,1722,/cgi-bin/resultsearch_PF.pl?eid=8964&esortby=cert,8964
TN: Nashville,Harpeth Bicycle Club / 942046,RUSAP,100.0,2018/01/13,route 246 (unnamed),/cgi-bin/routesearch_PF.pl?rtid=246,246,/cgi-bin/resultsearch_PF.pl?eid=9196&esortby=cert,9196
FL: Central,Central Florida Randonneurs / 909062,ACPB,200.0,2018/01/13,Tavares-Polk City-Tavares,/cgi-bin/routesearch_PF.pl?rtid=1879,1879,/cgi-bin/resultsearch_PF.pl?eid=9553&esortby=cert,9553
